Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Registry		6,652 K	74,028 K	88		
System Idle Process	78.43	60 K	8 K	0		
System	1.11	196 K	136 K	4		
 Interrupts	3.73	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		1,188 K	1,236 K	332		
 Memory Compression		204 K	9,456 K	1812		
csrss.exe	< 0.01	1,684 K	5,236 K	420		
wininit.exe		1,320 K	6,760 K	500		
 services.exe	0.12	4,704 K	9,548 K	632		
  svchost.exe		920 K	3,952 K	748	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.01	10,100 K	26,940 K	768	Host Process for Windows Services	Microsoft Corporation
   StartMenuExperienceHost.exe		19,988 K	65,272 K	4132		
   RuntimeBroker.exe		4,096 K	24,144 K	4432	Runtime Broker	Microsoft Corporation
   SearchUI.exe	Suspended	104,708 K	177,524 K	5232	Search and Cortana application	Microsoft Corporation
   dllhost.exe		1,844 K	7,768 K	5388	COM Surrogate	Microsoft Corporation
   RuntimeBroker.exe		13,280 K	43,520 K	5760	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		3,488 K	17,148 K	6036	Runtime Broker	Microsoft Corporation
   LockApp.exe	Suspended	10,168 K	44,188 K	688	LockApp.exe	Microsoft Corporation
   RuntimeBroker.exe		4,908 K	24,564 K	6148	Runtime Broker	Microsoft Corporation
   WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe	0.03	8,536 K	37,876 K	7208	WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe	Microsoft Corporation
   ApplicationFrameHost.exe		15,584 K	37,896 K	820	Application Frame Host	Microsoft Corporation
   RuntimeBroker.exe		12,108 K	25,616 K	2248	Runtime Broker	Microsoft Corporation
    MicrosoftEdgeSH.exe	Suspended	4,136 K	15,088 K	5684	Microsoft Edge Web Platform	Microsoft Corporation
   ShellExperienceHost.exe		22,420 K	66,256 K	4772	Windows Shell Experience Host	Microsoft Corporation
   RuntimeBroker.exe		6,600 K	27,976 K	7580	Runtime Broker	Microsoft Corporation
   SystemSettings.exe	Suspended	20,584 K	41,372 K	444	Settings	Microsoft Corporation
   SystemSettingsBroker.exe		3,792 K	17,344 K	2564	System Settings Broker	Microsoft Corporation
   Microsoft.Photos.exe	Suspended	19,540 K	50,184 K	6204		
   smartscreen.exe		17,516 K	31,812 K	5380	Windows Defender SmartScreen	Microsoft Corporation
   WWAHost.exe	Suspended	24,744 K	67,732 K	6540	Microsoft WWA Host	Microsoft Corporation
   explorer.exe		8,296 K	30,480 K	8312	Windows Explorer	Microsoft Corporation
   dllhost.exe		5,092 K	13,880 K	8516	COM Surrogate	Microsoft Corporation
   SkypeApp.exe	Suspended	110,160 K	18,380 K	8528	SkypeApp	Microsoft Corporation
   RuntimeBroker.exe		5,244 K	21,304 K	7888	Runtime Broker	Microsoft Corporation
   MicrosoftEdge.exe	Suspended	21,748 K	66,560 K	9020	Microsoft Edge	Microsoft Corporation
   browser_broker.exe		1,592 K	8,192 K	9172	Browser_Broker	Microsoft Corporation
   MicrosoftEdgeCP.exe	Suspended	32,456 K	72,364 K	5632	Microsoft Edge Content Process	Microsoft Corporation
   WmiPrvSE.exe		2,256 K	8,252 K	1728		
   SkypeBackgroundHost.exe	Suspended	1,844 K	964 K	1136	Microsoft Skype	Microsoft Corporation
  svchost.exe	0.02	7,868 K	15,508 K	880	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,668 K	10,216 K	928	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,208 K	12,244 K	764	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,484 K	15,024 K	1036	Host Process for Windows Services	Microsoft Corporation
   BssCtrl.exe	0.35	7,308 K	4,820 K	4220		
   taskhostw.exe	< 0.01	9,464 K	20,260 K	4236	Host Process for Windows Tasks	Microsoft Corporation
  svchost.exe		2,208 K	10,256 K	1116	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,628 K	11,952 K	1124	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	1,544 K	6,040 K	1244	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,272 K	5,448 K	1252	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,932 K	12,088 K	1264	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	13,308 K	16,592 K	1272	Host Process for Windows Services	Microsoft Corporation
  VBoxService.exe	< 0.01	2,572 K	7,704 K	1356	VirtualBox Guest Additions Service	Oracle Corporation
  svchost.exe		1,560 K	7,280 K	1364	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,684 K	10,464 K	1404	Host Process for Windows Services	Microsoft Corporation
   sihost.exe		6,888 K	29,740 K	3372	Shell Infrastructure Host	Microsoft Corporation
  svchost.exe		4,604 K	8,820 K	1492	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.02	76,832 K	80,232 K	1564	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,848 K	7,620 K	1580	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,256 K	5,664 K	1600	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,408 K	7,096 K	1672	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,992 K	7,356 K	1708	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,808 K	7,980 K	1788	Host Process for Windows Services	Microsoft Corporation
